S.K.I.L.L. - Special Force 2;2.1
Dead Rising 3;121.37
Celeste;579.61
Monaco;17.71
SNOW;39.34
DEEP SPACE WAIFU;8.92
Deponia;48.01
Armello;290.12
Assassin's Creed Syndicate;611.66
Salt and Sanctuary;197.81
Orwell;96.17
FINAL FANTASY XIII;260.54
Fallout;122.44
Craft The World;615.53
Material Girl;45.92
Sonic Generations;78.03
The Vanishing of Ethan Carter;5.86
RIFT;237.23
GunZ 2: The Second Duel;9.35
LYNE;11.38
DISTRAINT: Deluxe Edition;30.12
Warhammer 40000: Dawn of War III;162.92
Carpe Diem;2.01
Sniper Ghost Warrior 2;110.9
Night in the Woods;75.82
Viscera Cleanup Detail;211.04
Octodad: Dadliest Catch;30.7
Crysis 2 Maximum Edition;79.75
VVVVVV;14.6
Assassin's Creed Brotherhood;262.03
The Bureau: XCOM Declassified;33.98
Scribblenauts Unlimited;69.54
Overcooked;238.85
Wolfenstein: The Old Blood ;173.42
Finding Paradise;23.31
The Witness;166.8
Oxenfree;19.33
Braid;16.6
STAR WARS™ Empire at War: Gold Pack;2650.99
Rabi-Ribi;76.11
Youtubers Life;150.45
Tribes: Ascend;12.61
America's Army: Proving Grounds;288.93
Little Inferno;33.37
Homefront: The Revolution;69.07
Absolver;47.6
STAR WARS™ Republic Commando;84.82
Gear Up;8.16
Kingdoms and Castles;421.18
F.E.A.R.;48.95
Five Nights at Freddy's 4;12.05
Mount Your Friends;18.09
FINAL FANTASY X/X-2 HD Remaster;556.47
Osiris: New Dawn;74.31
Resident Evil;170
Deus Ex: Game of the Year Edition;87.88
Mount & Blade: With Fire and Sword;331.77
Wasteland 2;31.69
CrossCode;149.82
CPUCores :: Maximize Your FPS;641.03
Dragon Age: Origins;178.4
Vampire: The Masquerade - Bloodlines;129.89
Tyranny;157.56
Crysis;71.62
Foxhole;518.02
Punch Club;47.32
Galactic Civilizations III;419.53
Minecraft: Story Mode - A Telltale Games Series;15.81
Half-Life 2: Deathmatch;194.25
PAC-MAN Championship Edition DX+;9.92
SoulWorker;657.2
Super Crate Box;4.85
Darksiders II Deathinitive Edition;216.11
Universe Sandbox;279.26
Assassin's Creed Revelations;137.5
Sakura Spirit;4.6
Momodora: Reverie Under the Moonlight;20.95
Unepic;33.71
Hitman: Blood Money;77.72
Door Kickers;72.03
How to Survive 2;74.78
Zup!;6.87
Call to Arms;305.16
Half-Life 2: Lost Coast;26
Loading Screen Simulator;16.25
FreeStyle 2: Street Basketball;766.99
Lucius;15.26
GRIS;251.15
Keep Talking and Nobody Explodes;138.06
Assassin's Creed;108.89
Batman - The Telltale Series;46.38
STEINS;GATE;107.85
Relic Hunters Zero: Remix;13.01
Endless Space® - Definitive Edition;291.69
The Swapper;5.89
STAR WARS™ Jedi Knight: Jedi Academy™;312.82
Aura Kingdom;321.38
Long Live The Queen;15.78
Sword Art Online: Fatal Bullet;511.22
Anno 2070;171.5
Archeblade;5.21
Warhammer 40000: Dawn of War II;191.92
S.T.A.L.K.E.R.: Clear Sky;172.06
60 Seconds!;34
Viridi;24.37
Homefront;21.84
Magicite;25.79
Streets of Rogue;572.47
Nidhogg;17.93
Hatred;23.24
Warhammer 40000: Eternal Crusade;56.03
FlatOut 2;78.51
Machinarium;47.48
DLC Quest;2.36
PROTOTYPE 2;85.64
Homeworld Remastered Collection;176.21
Planetary Annihilation: TITANS;395.15
